ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10263567,HY450274,10-05-2015 12:07,065XX N ASHLAND AVE,460,BATTERY,SIMPLE,APARTMENT,FALSE,FALSE,2432,24,40,1,08B,,,2015,10-12-2015 15:56,,,
10262479,HY450264,10-05-2015 12:06,076XX S CICERO AVE,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,TRUE,FALSE,833,8,13,65,6,1145727,1853720,2015,10-12-2015 15:56,41.75459296,-87.74152854,"(41.754592961, -87.741528537)"
10262560,HY450265,10-05-2015 12:01,001XX N KEDZIE AVE,460,BATTERY,SIMPLE,STREET,TRUE,FALSE,1222,12,27,27,08B,1155029,1900649,2015,10-12-2015 15:56,41.88319163,-87.70618385,"(41.883191631, -87.706183852)"
10264133,HY451550,10-05-2015 12:00,068XX S DAMEN AVE,810,THEFT,OVER $500,DRIVEWAY - RESIDENTIAL,FALSE,FALSE,726,7,17,67,6,1164205,1859364,2015,10-12-2015 15:56,41.76971214,-87.67365311,"(41.769712137, -87.673653113)"
10267300,HY454334,10-05-2015 12:00,040XX W DIVISION ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,2534,25,27,23,11,1149059,1907696,2015,10-12-2015 15:56,41.90264698,-87.72792362,"(41.902646975, -87.727923615)"
10262936,HY450459,10-05-2015 12:00,069XX W WOLFRAM ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,CREDIT UNION,FALSE,FALSE,2511,25,36,18,11,1129443,1918168,2015,10-12-2015 15:56,41.93174077,-87.79973852,"(41.931740765, -87.799738522)"
10262463,HY450271,10-05-2015 12:00,021XX W WARREN BLVD,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,RESIDENCE,FALSE,FALSE,1223,12,2,28,11,1162125,1900333,2015,10-12-2015 15:56,41.88217924,-87.68013574,"(41.882179244, -87.680135738)"
10263962,HY451651,10-05-2015 12:00,067XX S PRAIRIE AVE,620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,FALSE,FALSE,322,3,20,69,5,1179199,1860457,2015,10-12-2015 15:56,41.77238271,-87.61865868,"(41.772382712, -87.61865868)"
10263082,HY450892,10-05-2015 12:00,014XX W HOLLYWOOD AVE,460,BATTERY,SIMPLE,RESIDENCE,FALSE,FALSE,2013,20,48,77,08B,1165581,1938004,2015,10-12-2015 15:56,41.98547762,-87.66636922,"(41.985477622, -87.666369217)"
10262675,HY450285,10-05-2015 12:00,003XX W 103RD ST,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,TRUE,FALSE,511,5,9,49,6,1175895,1836626,2015,10-12-2015 15:56,41.70706214,-87.63148256,"(41.707062135, -87.631482564)"
